ladder,rung,gamma,k
spin,1,1.355493503637645,0.6068216347951682
spin,1,1.6171601592864557,0.47682638818864437
spin,1,1.0607234478549987,0.7441204251404663
spin,1,0.7058786100334139,0.8805209444227828
spin,1,1.2089771185981322,0.676988120290023
spin,1,0.9891323292284878,0.7747075246275763
spin,1,1.670643717982604,0.45015921545950227
spin,1,1.342708369672478,0.6130577080207725
spin,1,0.9196388398950988,0.8030537283456006
spin,1,1.933258239379557,0.3227113702265975
spin,1,2.366369103991347,0.14286770252091271
spin,1,0.48309714747063714,0.9427802363464961
spin,1,2.2303667397536784,0.1936112875076371
spin,1,1.3747611577527246,0.5973909905698944
spin,1,0.5035942307053382,0.9379268655460635
spin,1,2.2616393065104154,0.1814064496375366
spin,1,1.4233501024034065,0.5734562742283812
spin,1,1.142315568633278,0.7077446915375492
spin,1,1.672057982030237,0.4494556554640037
spin,1,2.38523443018902,0.1363299516920639
spin,1,2.264046211219749,0.18047986162410293
spin,1,2.9620887925014476,0.008033802383124082
spin,1,0.6875035721662898,0.8864163396127611
spin,1,1.7169056351429213,0.4272049961282249
spin,1,2.1990148988109306,0.20614780946624214
spin,1,1.1625953445578263,0.6984793835905141
spin,1,1.944965960603066,0.3172501295847754
spin,1,1.9610852662367286,0.30977217902163084
spin,1,0.49262221584661803,0.9405478719484637
spin,1,1.3274818207172343,0.6204604102299538
spin,1,1.3311877437654471,0.6186612050302317
spin,1,1.0033072758611974,0.7687581896675391
spin,1,1.0021754372451768,0.7692352307468718
spin,1,2.7263820300192445,0.04248431055290726
spin,1,1.5186096945907095,0.5260814737647505
spin,1,0.7636468711424051,0.8611593942690798
spin,1,2.3584975424475854,0.14563329582493928
spin,1,0.24496512094755726,0.9850728922586484
spin,1,2.9850360097390465,0.006114990502936917
spin,1,1.124207269642561,0.715945818077928
spin,1,0.39726397364776567,0.9610615020323096
spin,1,0.8507522714711765,0.8297088961881719
spin,1,2.552170103216372,0.08436909449527323
spin,1,1.6242727420612713,0.47327453454039026
spin,1,1.3600118085514654,0.6046135593561736
spin,1,2.2278338457388713,0.1946130860342237
spin,1,2.553962668768167,0.08387153587471742
spin,1,0.8897174996981917,0.8148157622292098
spin,1,1.794993421177422,0.38883818868109615
spin,1,2.3095934655474526,0.16330042558728294
spin,1,0.9711572128996272,0.7821722922385835
spin,1,0.5247948953115593,0.932713362279096
spin,1,2.6753789723105146,0.05336166746421358
spin,1,2.61979852801277,0.06653684095674994
spin,1,2.610592556478032,0.06884947166134445
spin,1,0.7264534943380182,0.8737673840186805
spin,1,1.8461503711939085,0.3640561694095868
spin,1,0.47817641945924977,0.9439177695023793
spin,1,2.8687237389442073,0.01849914927375983
spin,1,0.8801685838249739,0.8185106005184278
spin,1,0.07605776389923563,0.9985545011640692
spin,1,1.5178618128530288,0.5264548982166807
spin,1,1.572573973728058,0.4991111770015372
spin,1,1.0598039265160275,0.7445215591204101
spin,1,2.0893832830283343,0.2521733121444583
spin,1,0.602725253657839,0.9118968789817274
spin,1,1.5299650991030502,0.520409941537119
spin,1,2.349276978094881,0.14890075883798842
spin,1,1.543003888955843,0.5138944300366376
spin,1,1.9131985167539822,0.3321245982208838
spin,1,1.2503220863915387,0.6575083455065824
spin,1,0.9820510940607349,0.7776589740218378
spin,1,1.2299999025053232,0.667118909506071
spin,1,0.6138702515797667,0.9087123717522388
spin,1,0.577880989606758,0.9188110197601178
spin,1,0.9852836583447849,0.7763133638137141
spin,1,1.4518890977052723,0.5593136118154789
spin,1,1.7376675278400913,0.41695108529252967
spin,1,2.0917778288429836,0.25113416766229635
spin,1,1.8491721615787058,0.3626028140321568
spin,1,1.6326503118542814,0.4690927243746841
spin,1,0.9662367541590815,0.7841998843382723
spin,1,1.9859306833001162,0.2983435607115891
spin,1,2.7769770463118686,0.03286954956988882
spin,1,1.8393634133634407,0.36732491846636556
spin,1,1.5757848211326921,0.4975057631760109
spin,1,1.470087483138411,0.5502693469486917
spin,1,2.156957297416205,0.22341653739527897
spin,1,1.022517221999586,0.7606096751645623
spin,1,2.1956902346604377,0.20749438358024272
spin,1,0.3008960856043754,0.9775356471025455
spin,1,0.13059165229766156,0.9957425109158003
spin,1,1.9989998511953564,0.2923814020855378
spin,1,2.4844853093044676,0.10411877006054145
spin,1,2.3973910493902104,0.13218552105778794
